ag,bg,T1,V1,A1,P1,B1,T2,V2,A2,P2,B2,T3,V3,A3,P3,B3,T4,V4,A4,P4,B4,Contamination_Defect,Crystalisation_Defect,Ion_Diffusion_Defect,Burnishing_Defect,m1_cost,m2_cost,m3_cost,m4_cost,ID
High,Argon,116.51585251758296,502250.30276328523,182.22960311126764,56.99039243326711,114.47119340238186,442.1766490266754,4757168.188449859,69.6552466134084,96.35237998835272,330.310187384874,485.91143173345,804855.7274764562,539.3593463997004,173.8401591564306,797.1309121505202,388.3994416175525,569835.6883842667,433.165345850768,462.28332554865585,368.2482777769713,0,1,0,0,1272.7022587790345,6522.795991338912,1182.9485980643751,865.8991232791847,10
Medium,Neon,30.440417645396053,321395.64659378154,58.23157103286493,16.488453545882546,141.23889281182727,524.6052469085232,1931676.473082278,236.17216560909836,63.31422791958863,,357.7066749986263,955319.1262702795,72.05092284337927,198.7599166457103,603.3842056173442,285.5968809029396,322607.3428697397,928.9237577658753,263.0617167679151,348.9038230658832,0,0,0,0,846.7988516993395,2706.9500994470286,1384.9598825465328,531.6959668447751,11
Low,Neon,78.39480405332263,275180.05863744766,230.38351365408164,26.733316061845848,136.614299231635,419.91428986541035,937932.4618770047,172.57329656159172,102.82517663282849,293.9081295018555,387.24260155578423,690565.1833015787,319.37130786766045,72.13650678548339,868.301658491911,338.7412647830218,362754.7106648966,662.073282070594,202.32162184509968,318.8991589711966,0,0,0,0,,1367.363077054446,1027.4635562429999,585.6079979770532,12
Medium,Argon,88.30509350835386,489451.80808066804,139.38721708438297,12.547073020524648,137.82512348775643,565.7049280128057,728284.6287180551,121.43687105298602,85.3664239503303,600.0502071425277,376.0981815756538,660367.4185440729,88.51724372981259,113.49709869407324,918.5042043792212,330.4615025920685,642009.644798248,699.990769487858,96.93344092014291,357.3168783122155,0,0,0,0,1242.485249679616,1085.2275710644872,986.5083208479676,962.788397063254,13
Low,Argon,137.34318134477618,347227.0294531133,146.29068233989233,38.12922276474532,121.5425592104566,551.8930069573296,916454.0428012934,423.62423343918823,93.84713595149664,276.48154295824673,478.18723967602625,417691.41507335525,536.6721298125519,43.4350428374068,810.0686304787042,343.0440949710619,645160.6778030356,687.8229317356937,54.20307400324584,313.54057651313445,0,0,1,0,908.2012646697895,1338.8015992210992,659.8384400043177,966.5750967643228,14
Medium,Neon,65.26204406799698,608098.1069350891,182.3023594274786,11.181486525435137,145.76962096416412,472.8259328507445,1183121.3606934552,394.2515742502974,52.281575233033436,329.8558314688479,308.246009404978,660811.6489440989,55.72724726305643,196.3815232834227,802.6029333879304,319.272804125197,479280.24106346956,290.5658662593837,117.23576173755076,330.22993376798485,0,0,0,0,1521.2010550349935,1698.1789313295724,987.3761222644863,742.4211604569099,15
Low,Argon,125.33518478918022,452566.28173323016,65.40501626675557,29.27224140819471,141.01838396227288,451.10695351679215,3265364.668039024,343.81359456298554,30.27425025794074,363.78059190447624,344.7839872245579,855412.7577816936,79.20328229643863,289.63700586349995,767.1787791488279,326.4281789729621,433349.37071731006,887.4974801422946,70.10172189714855,369.4848011572806,0,1,0,0,1155.613565867815,4508.735535933896,1250.5491332297177,681.3756665118499,16
High,Neon,136.90421226278895,387412.0311878241,134.95071927802695,21.435903261853163,130.1399647569162,566.8085593071174,1708468.4178161346,172.89082580361335,86.522791520234,263.54980256416405,417.2328043972502,770390.5482814608,533.6211201175674,255.26496627448554,819.6242494116398,336.3344847119605,568198.9026460701,125.71421664834125,110.47839338446488,,0,0,0,0,1002.8310119542741,2407.834457662398,1135.6203427019093,862.4633630634859,17
High,Neon,78.65987864629925,531323.5815792778,93.42542008718169,32.78994849382663,124.2742375330331,351.06867199810387,1640906.5456827844,42.067717574312695,73.87009414107811,290.8902840544119,369.1522693950584,792151.5077662522,296.5365070802088,138.87126925039465,919.5050055095369,352.45316375727356,629713.431890903,321.28038628767524,478.38145321004123,321.0008590655619,0,0,0,0,1340.646981927984,2316.2933495409393,1164.7403627879505,945.9790913718465,18
Low,Neon,105.34104117403608,227990.16599771858,210.20786201750994,52.1627343466031,123.39350660809366,483.83483755803616,1028133.8506788037,170.97165441231618,108.26811395418764,240.6185711220728,298.35551244991314,936946.7078007323,462.8826926575252,318.6330445433846,798.88053845288,363.6033326161173,459703.43175586703,803.0422875253049,347.28342879059994,358.11935144100266,0,0,0,0,628.1832777768112,1488.9099425222928,1359.6862941265458,717.2100514287525,19
Low,Argon,81.52268485974362,496310.87770207186,76.59832085104907,28.805682355870466,74.74676073953609,514.3524751765212,4013582.4135099747,52.5693526918423,55.95374963139462,338.14976729151056,631.8564961500778,881987.069626779,253.82577509532496,199.08748345121083,842.4744751254681,330.09292187356,469943.81241506495,664.98507989109,107.43588141085428,362.6794711778262,0,1,0,0,1258.0022069853453,5519.476314152204,1287.8088702692087,730.3501373128587,20
Low,Neon,32.83001796071931,625240.6343434114,115.16364014143926,59.82058411148432,120.63230176454725,364.49282862684544,2130809.421510467,148.39179262366093,63.581753780626286,315.648877780083,552.0198914132258,871240.5191177148,447.57013870574286,43.21376977001386,948.1778928893649,363.5942065256502,240399.06667607834,827.3340196085609,246.35038697535097,348.88359117935204,0,0,0,0,1561.0416486533034,2978.257385813963,1272.694028846051,420.9271965731271,21
Low,Argon,74.65174735000318,438924.07899279596,37.77351698769461,52.920177281967455,133.39345422110392,415.87691334472913,1817339.557134894,336.0187658734253,72.34991852274028,271.7948364657253,411.8580464670118,690602.2091731121,582.1419006610621,150.42822534703498,878.6446536350666,382.61576426663174,298003.87231185986,636.3125440503806,113.30469036992098,326.94700519350977,0,0,0,0,1123.4110570120629,2554.809613152504,1028.0025760102494,498.38802120617714,22
Medium,Neon,93.95598036264089,499536.1473472482,234.8487680021236,13.09861844596276,144.00067927708972,526.831911275363,3507124.152773165,182.9377089426178,90.27786375822689,324.02406611539595,515.6561905182773,832647.5091940555,158.3799824423901,,779.3454138734966,281.3314096182217,282997.9929619703,432.4693585481341,284.76284079835966,360.8212974217913,0,1,0,0,1266.571693250116,4835.370555306075,1220.344143913166,477.7568790649341,23
Low,Argon,67.06957164255519,276604.2341265413,223.7093557674063,39.18481488303925,132.5496310649334,515.7562254226112,2745555.8008126374,189.9488582018041,49.851072137339,304.3900636299669,473.9869352482624,918324.4280844914,594.8597864334316,64.13562939965105,920.6575479927297,342.7930881427073,378073.5726474538,393.90591692008314,405.2490014529541,314.1872852445336,0,1,0,0,742.3977762173092,3808.7136916443606,1335.865762667233,606.1064989047375,24
High,Neon,160.56248864456086,1508181.8833881947,90.43098138182471,51.06019742022219,125.87863005202465,736.4925137816848,1285500.3818650956,82.18649313581902,97.1409117227646,268.2479022847233,,857821.3973899346,525.0730829074139,199.11327937336873,856.0893826018962,315.12209410945576,524181.12310966005,210.11351873172939,399.5522845507421,342.0942029350848,0,0,0,0,1428.1389827071584,1837.974946379505,1254.1585180108107,803.4942516207121,25
Medium,Argon,115.64687126035527,465649.0091899858,247.1850316826349,26.74845686125544,110.51888560004252,496.77922285511346,3197136.162908336,295.37455161642623,38.037601584475105,206.41581782156987,382.16843209546124,809473.6563219429,611.386997063968,116.0137881810688,824.0346693726518,379.35378667286335,,811.3585193906348,445.0522115195191,347.2765843710099,0,1,0,0,1186.564065723027,4417.267467619981,1187.6823634457796,709.0894414581347,26
Medium,Neon,54.39888079271509,361557.38104708714,,26.43831959549475,109.38511657206567,458.2389909807238,1259246.8709409365,88.9598682930519,,246.15419862206883,408.41344915616025,840475.760630177,1714.571512951421,111.53732735177516,1089.991264041427,358.7874684408932,291680.965303658,207.7266558378809,162.23310621406296,342.4161295425458,0,0,0,0,941.2609990038808,1803.4950004185864,1229.6420090038516,489.3852247552879,27
Low,Neon,93.79281614529728,669043.4454529011,27.810388158182334,39.437324330750414,140.7116621675554,477.21086255855283,688663.1203041993,396.323619164397,95.40220210147392,267.37192209632354,308.38954520274194,779091.4788757656,210.99885753704984,67.40593094696663,821.958440027267,340.88240677527824,437697.8661606694,796.4119451637711,217.3489930266636,342.7525483945019,0,0,0,0,1664.2228128478885,1030.9767688240831,1146.3058676025696,687.1020836300934,28
Low,Argon,44.24276104772757,507486.19814864255,57.58333954993746,52.37362610879583,94.62073418423755,407.43233903238695,1245149.6065269196,336.2269240592203,52.845030724446495,222.66485847614015,403.1400004116054,826965.811165954,625.9757500724868,260.75938652593743,732.985954429093,322.9854885619747,555485.6691339782,399.9258900735705,416.495944666229,352.0397066355478,0,0,0,0,1284.0738751974877,1780.8087425563224,1211.5582146499628,845.9640395985635,29
Medium,Argon,92.90916079398605,280342.18712178245,47.48091467053656,8.179001512943874,120.81766439575978,622.1826819908966,1222211.6389472354,51.254604705581826,,222.7039164496004,458.23326259702515,856326.6614200938,407.6512018238427,60.24122626502501,748.572842142287,368.19041621618845,587288.2225103036,329.7496120237967,265.1284879944757,332.54402049111064,0,0,0,0,750.5275087310815,1750.9798908683836,1251.373371040728,888.7863698072698,30
Medium,Argon,95.18351637022735,539882.073415891,308.20050339651186,42.44151679706308,96.22394975908472,579.982979564083,1122656.5490464766,309.3779650865221,59.637062934710315,361.2636701170697,462.94179293449673,983335.600980934,1642.7938421170852,232.63242056723584,774.7425510728516,372.82687508247113,465950.409688877,603.4629450656864,466.6417880769541,341.58208304936574,0,0,0,0,1361.1084239474312,1616.7422209396796,1424.114658174265,725.5729079078058,31
Medium,Neon,141.4240051704424,371277.12965482735,78.52497960192554,-8.138107975192867,138.62244795720005,449.6564824303684,3884701.9246806023,105.97335911756882,109.26452282049105,297.2809105491422,631.6507706032355,628448.5228845287,574.505523706524,88.74948331521107,837.8143762372592,313.0943209702695,393517.0452814242,254.5742256119589,482.40686274724277,325.8478997553646,0,1,0,0,964.8853490609308,5345.1584273406515,945.1833449768437,626.9914684555563,32
Low,Neon,92.93046202640257,374013.6722131515,206.75757468689855,130.35694314358943,138.84860914864336,483.0265232094798,1521836.649876397,312.0171136241558,87.36983981987753,332.98619666225824,339.97457116513874,717964.8750286301,186.22950842277368,60.2884727687302,805.7325094207512,396.1757613916616,441653.88674345525,326.9725058575424,482.0856432901133,348.33269738431414,0,0,0,0,971.2998616885286,2155.5239041485597,1064.4649870876433,692.6743077515035,33
Medium,Neon,58.190707810585316,449340.4818858203,272.94597117210014,36.31219280490123,111.32147424085571,585.0562448372963,3113921.1065511936,215.06305084248808,60.222041363218814,318.08696018503554,596.168527611048,568369.4353924614,348.8252546421586,287.5553101586123,827.7444998483252,355.3731777843983,469896.47229704895,221.55208112419592,75.8397231911811,318.63111338927354,0,1,0,0,1148.140537523533,4305.384588791121,864.0945287580232,729.7865863827425,34
Medium,Argon,134.84965518601456,517186.00051303575,168.6577295856931,40.011807210071524,157.96202955582774,465.00489019456876,3172907.699623095,153.8245474507386,32.04980603838095,322.9227272857563,367.56499484168404,848211.7364106937,278.36503999711755,126.07729670521711,836.2258395704838,332.23426354638406,457588.6371899159,947.2561096276964,488.07690087170016,341.19914400951404,0,1,0,0,1307.9557445708144,4384.388173032971,1240.4813939438536,714.3445336615582,35
Medium,Argon,55.64139946890258,264985.01538740296,223.05598223255853,40.027635899969106,129.37954393234332,418.82985143030356,2730661.9919370757,373.8327246115564,24.568230554493482,342.96625401208445,483.952689334429,923057.6742239249,193.43599842441859,256.5183159997179,914.1965522494376,333.8955646316503,443174.2237123516,341.9179040632698,404.9442638168745,359.3262993453433,0,1,0,0,714.8619801028158,3788.1719609394045,1342.6240888613966,694.4252388949859,36
Medium,Neon,95.08284624810537,216591.11246579862,257.1738184543141,40.13387277000991,141.9376973785112,513.7175438388507,2476186.9508959926,172.87380660873023,33.91640111641654,326.25523409528154,376.1865062940355,722864.8145726724,390.5166545179298,116.74068570699268,919.589840930393,436.23216169604706,427503.67540289386,380.9356073341599,189.60586457255133,345.2721957306084,0,1,0,0,601.5993826714027,3444.9939146105967,1071.6706582122724,673.4923591704421,37
Low,Neon,123.92368169939306,314118.8677177861,63.37126820638474,17.261271162926327,111.44899216560012,604.4618615730961,1293357.3070641349,316.0945709201336,48.75165554208629,279.8059400904943,383.51461582935036,814837.586477414,421.58846673112475,97.22699923668887,666.3841319359053,380.3783935742835,341714.3596319155,582.5454918249447,336.0671422376331,363.34213260678143,0,0,0,0,829.9641938370341,1846.2143191027023,1195.3792172147396,557.8615590982881,38
Medium,Argon,149.00429106399355,117930.47453188179,49.29743665127177,52.828025230613235,130.82726158004084,526.2160502502534,3463134.3684878075,438.5252675514753,98.68775211171526,255.86973837672693,467.81797999469694,910505.3340932314,475.9108033610917,152.04751008308148,,356.88832653282134,627945.9497911257,927.4035031527916,227.98004766684429,322.41691677118365,1,1,0,0,369.46877792413085,4776.580952671859,1324.7870284588648,943.9401500865786,39
Low,Neon,77.14723209206845,596375.7876260874,207.39975958043084,-4.156803463794663,131.10278428390575,518.0632649195977,1255006.819237236,27.66646207875382,38.369020634878446,293.0712084984944,441.7731504320697,923618.4511741648,161.56064315983247,767.7150294511277,904.0484833282286,384.4784409373964,286314.8745230676,170.84500683349137,478.95964023257716,348.0133284255147,0,0,0,0,1493.7085192599823,1796.0819067967732,,482.7474605281585,40
Low,Argon,108.58821900681009,,195.21995160830087,22.358086418810306,151.4972413112924,535.6711413005004,2488659.867316624,463.63755750029753,68.81461363877426,269.78117290179,390.06185539844483,766834.1848272339,137.64075946879584,243.23081205823507,861.0710066712661,342.1600784705712,600566.6676409314,230.9477656091955,370.4625549360138,353.0842288080446,0,1,0,0,1462.641287678554,3461.6172249996876,1130.464609493524,906.8058434866605,41
Low,Argon,69.00931048938983,483351.2767251879,271.66520850174993,87.17443132152482,179.46952160610869,370.62304475780013,1579072.2558602504,68.87703833634802,74.72972244868255,254.78164963168288,478.75244457001435,,360.2166797194946,51.21285181668853,759.0850883082805,358.9735941235037,386135.0920818824,912.8863179910801,70.24776213868356,348.2274212673945,0,0,0,0,1228.556033091459,2231.556094325924,1220.489113283802,617.6554524774018,42
Medium,C02,66.84930319823516,302677.0131108596,80.51852388981675,28.060393376404186,122.6700330777213,318.7498826468473,2070701.1817102733,,77.78031223434257,308.2159763287008,490.27152916765885,948318.4629168542,323.4863221909482,21.004781131598918,940.9910704491134,351.04776969966224,433901.0881195532,535.0917983898162,420.02164988808545,345.6450244283314,0,0,0,0,803.0639613876963,2897.009403693631,1376.2101000698628,682.1306049426491,43
Medium,Neon,81.83549589650104,,50.5075842806164,12.56492478646939,120.03590188040627,583.9100864607514,3260659.888356928,210.53166578696033,60.2753275185855,358.6227556873218,398.6641666986639,677989.4204014343,61.242742986565695,172.47986128425387,811.3353726071656,375.9810838428268,334014.7783389567,736.1311943878254,327.87007225937884,366.1075309549782,0,1,0,0,1070.2485573949152,4503.2849302277655,1011.1841527303554,547.5620857523511,44
Medium,Neon,148.33827745953013,619787.1639504826,166.99586252378828,13.235776409776761,115.80468177062463,561.0236765228749,1552204.0995049973,422.07521237124655,26.502930884296333,355.06515880303334,318.2018525151833,744389.1195742785,236.90335970910738,203.5720905329883,778.0862691324477,325.9941136511029,463518.4372757901,380.53802280643936,383.3067334821729,347.4066289135426,0,0,0,0,1548.9374848454074,2196.6864954396574,1100.6139877732357,721.7767121568033,45
Medium,C02,,449177.0314705444,8.375023520735407,21.818328409127307,102.84059474411954,541.3634952965275,2128142.585564786,286.5418957708134,73.5618388487221,344.8385520361122,404.73416288848784,969571.8429979013,181.55436800968835,61.03792291694725,835.1509604441096,390.88032369627626,543701.8693924596,603.5433880768074,311.0034112656356,329.2960549885946,0,0,0,0,1147.3345257571107,2974.7423805164703,1404.6878548399823,830.2167917941671,46
Medium,Neon,115.25130542905512,275175.057653585,167.2269613332781,35.21405217808187,91.1171543774058,1039.6611161601563,3907404.6083112615,367.7026568147087,81.05126767180447,265.02702546196554,280.76944338553926,790854.4496133113,283.80997755618523,296.5361485385208,736.623799703836,336.6789258770025,512487.9875101539,554.7359561688672,113.2914375450053,354.17859024877436,0,1,0,0,738.5333626195873,5375.97799003459,,787.834980829672,47
Low,Argon,142.79075724700013,226110.5636540238,268.59973895218235,49.387691080191985,129.0518757793756,495.43841004101085,786909.4164760086,256.97027259150605,73.62690371127009,396.5711364921715,377.48880433339184,709164.4610545458,222.5091675632214,301.925993485272,722.3134144595697,395.5177135544479,256468.1354126357,604.3887666585828,485.6336519323037,342.5722299554794,0,0,0,1,624.1567255462168,1162.5580374153894,1053.761795611506,442.8199486346777,48
High,Neon,64.21595525704902,535853.2301523449,215.88178239619842,32.58816530361904,152.31710853089152,466.70299593758205,2387190.573970034,327.3991638707353,79.50465095951607,314.43520496728223,458.81195865606884,713926.744207782,325.42271237667666,197.9968848474174,852.1397217566592,317.3982242769576,560331.8690561561,715.6525723624626,58.847622369006835,338.8870693798327,0,1,0,0,1351.7105271618677,3323.9689276529343,1059.7147825542695,852.2138768005775,49
Low,Argon,73.07478667656883,142170.27950587566,189.69059665835948,38.68965145145121,115.44442370100036,470.2575047668901,1996173.7558699986,,74.59369331789378,385.030240772045,376.6661006522612,725315.8518201675,274.73140526172995,41.64801601856826,811.7376308385008,396.24276697726737,346147.11271530733,795.1852562648485,257.0877386074268,325.7955505970672,1,0,0,1,426.2379789161589,2795.4401539674286,1075.4871456056726,563.7054868566208,50
Low,Argon,124.75424629367942,210226.68687596294,126.67918966413819,53.71584645864968,75.7481662407209,519.4467827728739,1545633.6501404159,238.67323508577826,47.16633638403659,354.7998344537195,406.27585155440977,975231.163088142,92.36743499056283,287.261799895816,688.0434926838398,378.3564253754307,458495.6354965293,894.078412760544,201.8106604795783,354.11416140163203,0,0,0,0,585.769158107817,2186.4509191557377,1412.7838683860887,715.5086744319378,51
Low,Neon,138.2527454903968,235222.9011786554,68.9281741236249,47.32065663352629,119.15099859374564,353.4779189041581,1300580.1701973777,82.67219641266047,71.08843386038781,305.2161214929341,269.13908215631915,935279.4263523045,406.85412221400065,219.85165610389026,761.8994452321126,320.17971836336653,613016.9530231373,595.0795819590663,253.48073642513484,353.30147300987375,0,0,0,0,644.9229971182061,1855.5164695287574,1357.907792759851,923.6330080328174,52
Medium,Argon,127.49771110615477,438858.0975073578,97.68754264628947,59.597359300963944,129.65773772637544,554.8418684697724,3345960.6845301813,192.25637088872156,,284.66187244359486,423.15432671498894,817541.876350339,182.59750664390296,65.41016765651389,735.3403980728114,340.3401891596346,496500.5510008995,592.2297687416348,461.50363220895986,,0,1,0,0,1123.503635252799,4617.766767819994,1199.0213839463124,766.6449126826477,53
Low,Argon,88.56022528993226,305051.0648846826,152.51135634491527,49.14707047249103,146.2431756169614,523.3354823404966,702462.0549281362,75.94010665834085,99.91703227159846,335.7527575369187,332.59799087949096,909629.0244825111,261.20016354154586,239.13509554303758,783.4921654096287,429.73723170746905,505969.03356975835,298.4043558332991,282.392511792645,347.13891371447426,0,0,0,0,809.0417198718936,1048.9958766279685,1323.5916581103281,779.3362321392009,54
Low,Argon,91.96281646781249,679500.3357768467,279.57225313873016,47.70851155762204,118.75447783246379,632.5338189445279,2674339.4392026896,328.79972265648144,77.29364654627999,253.74948178604623,538.5171434949232,903159.4031078225,380.1320462343497,82.06393878087715,663.5691113959507,338.25285490196285,590128.334211395,942.5107419200584,241.3382654171663,329.3213849064663,0,1,0,0,1689.3785597311228,3710.6964320894385,1315.0080544886125,892.9311143489168,55
Low,Neon,137.33045879112004,527322.3161657227,81.19760087021803,33.70410448564218,122.78149377168921,613.9977616590912,3653297.6546440218,204.76096186386943,80.77321644214742,262.91382294331214,438.25868095170176,877973.4899931991,307.1255060039873,189.76670373993088,1027.8979775511343,366.7680136412949,621590.1729065569,373.0184198439581,300.0939869171078,339.7747524285571,0,1,0,0,1331.4120378411167,5035.726399792109,1280.6561381459003,935.1981969269245,56
Medium,Argon,131.26281044414208,335962.7113791327,238.27415417321146,34.02738443055137,267.9404430200016,520.8863368419879,481673.6174342126,268.17006765562235,81.3052244010649,263.79128393305814,406.44970606358277,805464.87205619,284.2794671415887,228.45786088798738,798.8309230452187,346.53458703232985,373545.7213166809,373.338524743993,243.25076187850777,348.10047741020526,0,0,0,0,882.2836070426581,751.4405354024483,1182.6406178079872,600.1829617781515,57
Low,Neon,82.78568813705405,175315.95880598205,207.792759047668,30.655536807222745,89.62310067682101,445.56990499150464,3669042.366447398,378.3812544777233,56.00084137711638,301.0427167012346,342.6326601749678,682679.4525948163,289.83531939277117,40.43962827836119,882.7949769799822,385.16609273156354,431131.5749052779,207.0396761692649,245.73611039911083,341.0906667360355,0,1,0,0,504.0112355538117,5054.73550022503,1016.8025369995797,677.892111438677,58
Medium,Argon,88.18870328098971,348045.81733044423,245.26915212373896,19.778869456569076,106.06662441768192,514.7299187129281,1530149.488824423,245.24089164818932,62.45393674663535,352.7063489174085,571.8898433583796,465103.11100032454,441.1767629562512,38.1579671587587,809.3588214693275,365.6915589327095,330836.7277381608,927.6140401524798,427.5728246273843,338.4590659134918,0,0,0,0,909.9001595110535,2166.697338004916,724.8429612413486,543.3068812332281,59
High,Argon,104.40528701592048,349415.62966355967,,37.307928398777044,59.96733903137381,543.2904844645241,2887043.225865273,117.19977506786346,,323.2682033618819,387.44800757000604,906690.3354379833,294.6046027670111,53.813740746312384,931.0367327172294,301.2242222081277,311504.57866999856,144.91820920147845,445.8043961258954,309.2910153741326,0,1,0,0,912.8209070819181,3999.8007551178725,1319.5284195881347,515.9127736145832,60
Low,Argon,63.30763254214446,780213.7555676535,187.27296157364313,49.907968215306916,87.83673722063405,533.035539031668,806961.6261518149,231.22393315066438,52.68968883096527,296.20392609130516,407.70091826574156,540027.4279888665,273.2379698464753,32.09261629036297,765.350866445473,304.6926757970817,358659.42203976674,834.404773930871,68.20538937955476,314.8920437851459,0,0,0,0,1925.604328019591,1189.991510933033,824.4086102730106,579.8355486248817,61
Low,Neon,116.7595713723209,385478.99278694123,154.76426471238122,34.94706098910172,114.04905767802978,513.9502908325013,1963700.6766333818,40.43924819038469,77.00794282044922,235.11877210940676,434.79599712091994,406443.5979648425,240.93980863057712,184.54387836828369,939.6616167007822,291.15925152753715,259079.69288271654,972.8640266330171,280.54260704209656,352.3927877972856,0,0,1,0,998.1354553381184,2753.061301511164,643.7755846961951,,62
Medium,Neon,143.40106127281913,296432.6710570061,169.37626515906408,23.5356312062574,147.8105868713038,476.11318262407246,677741.4254839849,149.33351381552455,56.10869274078149,297.2102090081867,394.6592486807648,698414.7309063668,146.8457354975814,200.84903896106425,762.3051955272031,363.514717452988,553018.2297043052,718.1580331426062,415.07422957012625,337.5129084539912,0,0,0,0,789.0955040171215,1015.3697991979683,1038.1728599341272,843.0197148776124,63
High,Neon,70.31357612933887,413586.4870315762,212.64277843251742,31.19871209280509,123.01878523176772,538.2002411750935,1066080.3095565734,202.4356797861619,55.05708537188748,322.6831267492884,335.0269538838554,830767.3978922677,78.54311747369779,158.54607511027214,767.3568960226515,282.5608026185194,322606.64098927315,463.31314395419076,412.6001066296641,326.6021951601825,0,0,0,0,1064.16482427877,1539.8422999991271,1216.7905885577566,531.134722486194,64
Medium,Argon,111.63110706988309,536754.6349491604,143.72568878981676,-2.2112570023599964,146.11417880098503,591.8664290970302,3276836.872900972,246.21517382131583,67.32880187522592,349.62768313022184,513.4878282823502,719952.9540766665,522.3003247573071,128.60421766716598,912.3268354098259,413.39649321826846,479612.88485463825,406.7151764869181,298.95757738079294,336.3729258807644,0,1,0,0,1353.4979696063433,4526.277650511154,1068.8187729408387,743.7457647614389,65
